parcela,dia,pendiente dia -15,pendiente dia -10,pendiente dia -5,ndvi,recogido,tmed,prec,precSum3,estacion,pres,estacionPres
22_27_0_1_534_8_1,347,-0.0004163531027459,-0.0005090657785948,-0.0004951427998607,0.1849255215036606,0,3.8,24.2,25.0,9898,959.6500000000001,9898
22_27_0_1_534_8_1,348,-0.0004364103177659,-0.0004971492219468,-0.0004512863209584,0.1852637054061971,0,7.7,7.4,32.4,9898,960.75,9898
22_27_0_1_534_8_1,349,-0.0004443781092129,-0.0004734966692142,-0.000396754128437,0.1855301452705942,0,11.0,4.6,36.2,9898,962.15,9898
22_27_0_1_534_8_1,350,-0.0004414996331065,-0.0004399728544266,-0.0003352756903552,0.1857306921585961,1,10.4,0.2,12.2,9898,962.5,9898
22_27_0_1_534_8_1,351,-0.000429038037246,-0.0003984724992826,-0.000270640450111,0.1858714970086421,1,8.6,0.0,4.8,9898,964.25,9898
22_27_0_1_534_8_1,352,-0.0004082564694306,-0.0003508903254814,-0.0002066378511022,0.1859587107591716,1,6.0,0.0,0.2,9898,964.3,9898
22_27_0_1_534_8_1,353,-0.0003804180774597,-0.0002991210547219,-0.0001469557884853,0.185998484348624,1,7.8,0.0,0.0,9898,964.3,9898
22_27_0_1_534_8_1,354,-0.0003467860091324,-0.0002450594087029,-9.336468896886108e-05,0.1859969687154385,1,8.6,0.0,0.0,9898,961.65,9898
22_27_0_1_534_8_1,355,-0.0003086234122483,-0.0001906001091234,-4.592452789169976e-05,0.1859603147980546,0,8.8,0.0,0.0,9898,956.65,9898
22_27_0_1_534_8_1,356,-0.0002671934346064,-0.0001376378776824,-4.635305253897215e-06,0.1858946735349116,0,10.8,0.0,0.0,9898,955.0,9898
22_27_0_1_534_8_1,357,-0.0002237592240061,-8.806743607882028e-05,3.050297894456322e-05,0.1858061958644488,0,11.6,0.0,0.0,9898,955.75,9898
22_27_0_1_534_8_1,358,-0.0001795839282467,-4.3732731890869234e-05,5.949032470364269e-05,0.1857010327251058,0,12.0,0.0,0.0,9898,954.55,9898
22_27_0_1_534_8_1,359,-0.0001359306951275,-5.518978472751623e-06,8.232673202335783e-05,0.1855853350553217,0,11.2,0.0,0.0,9898,948.1500000000001,9898
50_192_0_0_1_70_1,277,0.0042237720078279,0.004904857781667,0.0073221503973405,0.5325047952065072,0,19.6,0.0,0.0,9294E,976.9,9294E
50_192_0_0_1_70_1,278,0.0045254468996764,0.0055174942758211,0.0078852405105892,0.5245993858843528,0,20.4,0.0,0.0,9294E,983.7,9294E
50_192_0_0_1_70_1,279,0.0047528103682954,0.0060058556291967,0.0079020068394337,0.5178903900596639,0,21.2,0.0,0.0,9294E,985.8499999999999,9294E
50_192_0_0_1_70_1,280,0.0049039681613623,0.0063172149825785,0.0073859013272222,0.5125971538422207,0,19.8,0.2,0.2,9294E,989.9000000000001,9294E
50_192_0_0_1_70_1,281,0.0049913255522883,0.006420335941781,0.0064593766816366,0.5087241186915121,0,20.0,0.0,0.2,9294E,985.65,9294E
50_192_0_0_1_70_1,282,0.0050186919580448,0.0062842553540705,0.0052463603108004,0.5062729936525049,0,18.4,0.0,0.2,9294E,984.5999999999999,9294E
50_192_0_0_1_70_1,283,0.0049685893914933,0.0058780100667134,0.0038707796228375,0.5052454877701649,0,18.4,0.0,0.0,9294E,986.45,9294E
50_192_0_0_1_70_1,284,0.0048273319822712,0.005186145763927,0.0024702846884203,0.5055389666175623,0,19.0,0.0,0.0,9294E,987.05,9294E
50_192_0_0_1_70_1,285,0.004649486953292,0.0043499661109706,0.001314030894719,0.5060269993686256,0,17.9,0.0,0.0,9294E,987.65,9294E
50_192_0_0_1_70_1,286,0.0045283234029941,0.0036018375035284,0.0007442983254203,0.5050026270644105,0,18.9,0.0,0.0,9294E,984.05,9294E
50_192_0_0_1_70_1,287,0.0045575532730848,0.003175254710957,0.0011041491111136,0.5007522480969369,1,16.7,0.0,0.0,9294E,985.05,9294E
50_192_0_0_1_70_1,288,0.0048308885052716,0.0033037125026128,0.0027366453823881,0.4915622608582243,1,19.0,0.0,0.0,9294E,986.95,9294E
50_192_0_0_1_70_1,289,0.005429591758859,0.0041933842185716,0.005916483748723,0.4759565478739469,1,20.2,0.0,0.0,9294E,983.7,9294E
50_192_0_0_1_70_1,290,0.0063224101904914,0.0057906646221261,0.0102672983495332,0.4546905076209593,1,23.4,0.6,0.6,9294E,982.8,9294E
50_192_0_0_1_70_1,291,0.0074185860869483,0.0078981907896041,0.0150520832537879,0.4297422107954706,1,21.9,0.0,0.6,9294E,984.2,9294E
50_192_0_0_1_70_1,292,0.0086268362356968,0.0103170741981451,0.0195299992851766,0.4031022516710538,0,22.2,0.0,0.6,9294E,988.0,9294E
50_192_0_0_1_70_1,293,0.0098558774242049,0.0128484263248886,0.0229602072673891,0.3767612245212787,0,22.2,1.0,1.0,9294E,988.85,9294E
50_192_0_0_1_70_1,294,0.0110120444293298,0.0152829242997846,0.0246493648508462,0.3527097236197157,0,19.9,0.2,1.2,9294E,983.95,9294E
50_192_0_0_1_70_1,295,0.011977270381219,0.017308890124469,0.0243504818994047,0.3329380981239354,0,19.4,6.0,7.2,9294E,984.05,9294E
50_192_0_0_1_70_1,296,0.0126631056089045,0.0186225092506466,0.0221929352475052,0.3187775345579444,0,19.4,0.0,6.2,9294E,986.7,9294E
50_192_0_0_2_60_1,277,0.0086650726306573,0.009651413602092,0.0127633211114571,0.3293151466010277,0,19.6,0.0,0.0,9294E,976.9,9294E
50_192_0_0_2_60_1,278,0.0092749522463141,0.0103604496145265,0.0138079950494729,0.315091472227894,0,20.4,0.0,0.0,9294E,983.7,9294E
50_192_0_0_2_60_1,279,0.0097007669292912,0.0109858127163551,0.0140331790702989,0.3024953336969864,0,21.2,0.0,0.0,9294E,985.8499999999999,9294E
50_192_0_0_2_60_1,280,0.0099634828998987,0.0115016025397153,0.0135194883990134,0.2914662149663287,0,19.8,0.2,0.2,9294E,989.9000000000001,9294E
50_192_0_0_2_60_1,281,0.0101323505124999,0.0118932408256477,0.0125795300253599,0.2813961020354203,0,20.0,0.0,0.2,9294E,985.65,9294E
50_192_0_0_2_60_1,282,0.0102772841936526,0.0121461732441155,0.0115290253767739,0.2716700197171579,0,18.4,0.0,0.2,9294E,984.5999999999999,9294E
50_192_0_0_2_60_1,283,0.0104681983699148,0.0122458454650822,0.0106836958806914,0.2616729928244367,0,18.4,0.0,0.0,9294E,986.45,9294E
50_192_0_0_2_60_1,284,0.0107657159585513,0.0121793507566214,0.0103255224429438,0.250867721482267,0,19.0,0.0,0.0,9294E,987.05,9294E
50_192_0_0_2_60_1,285,0.0111335467049545,0.0119584617172231,0.0103974350354329,0.2394790397891641,0,17.9,0.0,0.0,9294E,987.65,9294E
50_192_0_0_2_60_1,286,0.0114776381335256,0.0116129813873207,0.0106464327492815,0.2281639382890128,0,18.9,0.0,0.0,9294E,984.05,9294E
50_192_0_0_2_60_1,287,0.0117031599810224,0.011173079415805,0.010817133454836,0.2175843524429774,1,16.7,0.0,0.0,9294E,985.05,9294E
50_192_0_0_2_60_1,288,0.0117152819842024,0.0106689254515672,0.0106541550224429,0.2084022177122218,1,19.0,0.0,0.0,9294E,986.95,9294E
50_192_0_0_2_60_1,289,0.0114297867852379,0.0101280906427074,0.009930658842471,0.2012144272699118,1,20.2,0.0,0.0,9294E,983.7,9294E
50_192_0_0_2_60_1,290,0.0108704634343391,0.0095459509520019,0.0086944668685709,0.1960067054463093,1,23.4,0.6,0.6,9294E,982.8,9294E
50_192_0_0_2_60_1,291,0.0101242561163444,0.0088966191618366,0.0071468055743917,0.1924299104170543,1,21.9,0.0,0.6,9294E,984.2,9294E
50_192_0_0_2_60_1,292,0.0092789117471764,0.0081538549323777,0.0054905764099193,0.1901314703933805,0,22.2,0.0,0.6,9294E,988.0,9294E
50_192_0_0_2_60_1,293,0.0084221772427581,0.0072914179237915,0.00392868082514,0.1887588135865215,0,22.2,1.0,1.0,9294E,988.85,9294E
50_192_0_0_2_60_1,294,0.0076357310326183,0.0062908353274555,0.0026510118124401,0.187959368207711,0,19.9,0.2,1.2,9294E,983.95,9294E
50_192_0_0_2_60_1,295,0.0069390415279673,0.0052098447742345,0.0017252226798981,0.1873805920468183,0,19.4,6.0,7.2,9294E,984.05,9294E
50_192_0_0_2_60_1,296,0.0063097744449297,0.0041414452927538,0.0011360850111159,0.1867494853614744,0,19.4,0.0,6.2,9294E,986.7,9294E
50_210_0_0_5_423_1,286,0.0037318652069421,0.0036992635803035,0.0031670731410846,0.3055735060758421,0,19.2,0.0,1.4,9434,988.8499999999999,9434
50_210_0_0_5_423_1,287,0.0037159105717839,0.0035035151626734,0.002970005599948,0.3029791517711315,0,18.6,0.0,0.4,9434,989.95,9434
50_210_0_0_5_423_1,288,0.0036473490326969,0.0032978885812912,0.0027821799523294,0.3005541393270035,0,20.3,0.0,0.0,9434,992.0,9434
50_210_0_0_5_423_1,289,0.003536001008201,0.0030962650510702,0.0026035961982285,0.2982892268499406,0,21.6,0.0,0.0,9434,988.5,9434
50_210_0_0_5_423_1,290,0.0033916869168162,0.0029038184566925,0.0024342543376458,0.2961751724464245,0,22.4,1.4,1.4,9434,987.9,9434
50_210_0_0_5_423_1,291,0.0032242271770626,0.0027206137558328,0.0022741543705809,0.2942027342229372,0,22.2,1.4,2.8,9434,989.3,9434
50_210_0_0_5_423_1,292,0.0030434422074603,0.002546650948491,0.002123296297034,0.2923626702859611,0,23.8,0.0,2.8,9434,993.05,9434
50_210_0_0_5_423_1,293,0.0028591524265291,0.0023819300346672,0.001981680117005,0.290645738741978,0,22.7,0.2,1.5999999999999999,9434,994.45,9434
50_210_0_0_5_423_1,294,0.0026806119775448,0.0022264510143613,0.001849305830494,0.2890426976974701,0,19.3,1.4,1.5999999999999999,9434,989.7,9434
50_210_0_0_5_423_1,295,0.002511270116962,0.0020802138875734,0.001726173437501,0.2875443052589192,0,19.2,0.4,2.0,9434,988.65,9434
50_210_0_0_5_423_1,296,0.0023511701498971,0.0019432186543034,0.0016122829380258,0.2861413195328077,1,20.0,0.0,1.7999999999999998,9434,990.9,9434
50_210_0_0_5_423_1,297,0.0022003120763502,0.0018154653145514,0.0015076343320687,0.2848244986256174,1,22.0,0.0,0.4,9434,991.9,9434
50_210_0_0_5_423_1,298,0.0020586958963213,0.0016969538683173,0.0014122276196295,0.2835846006438303,1,19.6,0.0,0.0,9434,992.75,9434
50_210_0_0_5_423_1,299,0.0019263216098103,0.0015876843156011,0.0013260628007082,0.2824123836939288,1,19.7,0.0,0.0,9434,991.5,9434
50_210_0_0_5_423_1,300,0.0018031892168172,0.0014876566564029,0.0012491398753049,0.2812986058823947,1,19.7,0.0,0.0,9434,993.55,9434
50_210_0_0_5_423_1,301,0.0016892987173421,0.0013968708907227,0.0011814588434195,0.28023402531571,0,21.2,0.0,0.0,9434,991.55,9434
50_210_0_0_5_423_1,302,0.0015846501113849,0.0013153270185604,0.001123019705052,0.2792094001003569,0,21.4,0.0,0.0,9434,986.45,9434
50_210_0_0_5_423_1,303,0.0014892433989457,0.001243025039916,0.0010738224602026,0.2782154883428173,0,20.1,0.0,0.0,9434,980.2,9434
50_210_0_0_5_423_1,304,0.0014030785800244,0.0011799649547896,0.001033867108871,0.2772430481495735,0,17.3,0.0,0.0,9434,976.65,9434
50_210_0_0_5_423_1,305,0.0013261556546211,0.0011261467631811,0.0010031536510574,0.2762828376271073,0,17.4,0.0,0.0,9434,978.65,9434
50_210_0_0_5_423_2,286,0.0024945335629752,0.0032065428000064,0.0039949932234922,0.2078220644276008,0,19.2,0.0,1.4,9434,988.8499999999999,9434
50_210_0_0_5_423_2,287,0.0026051580820594,0.0034438912519337,0.0038841286433971,0.2043436240181547,0,18.6,0.0,0.4,9434,989.95,9434
50_210_0_0_5_423_2,288,0.0027351824638639,0.003594611787675,0.0036865683608069,0.2011683474030267,0,20.3,0.0,0.0,9434,992.0,9434
50_210_0_0_5_423_2,289,0.0028678435026017,0.0036331882702378,0.0034318458437615,0.1983393721535798,0,21.6,0.0,0.0,9434,988.5,9434
50_210_0_0_5_423_2,290,0.002987156216489,0.0035640158248441,0.0031393956934667,0.195859231349766,0,22.4,1.4,1.4,9434,987.9,9434
50_210_0_0_5_423_2,291,0.0030786188003421,0.0034088820122529,0.0028227708010135,0.1937082104225329,0,22.2,1.4,2.8,9434,989.3,9434
50_210_0_0_5_423_2,292,0.0031277446408471,0.0031897900310355,0.0024954514186738,0.1918663669247854,0,23.8,0.0,2.8,9434,993.05,9434
50_210_0_0_5_423_2,293,0.0031200471246899,0.0029287430797633,0.0021709177987197,0.1903137584094277,0,22.7,0.2,1.5999999999999999,9434,994.45,9434
