,parcela,dia,pendiente dia -15,pendiente dia -10,pendiente dia -5,ndvi,recogido,tmed,prec,precSum3,estacion,pres,estacionPres
47,22_27_0_1_503_5560_8,299,0.0067046253036834,0.0066464667643768,0.0068085602870909,0.4917299536427795,0,13.2,0.0,0.0,9898,957.2,9898
48,22_27_0_1_503_5560_8,300,0.006540704533461,0.0066514858257669,0.0065569315152383,0.4858430043676909,0,13.0,0.0,0.0,9898,959.05,9898
49,22_27_0_1_503_5560_8,301,0.0064306876718022,0.0066071380888042,0.0062715965740991,0.4801705144768299,0,13.0,0.0,0.0,9898,957.45,9898
50,22_27_0_1_503_5560_8,302,0.0063661293041968,0.0065125486424817,0.0060041751849302,0.4745785563982295,1,13.6,0.2,0.2,9898,953.05,9898
51,22_27_0_1_503_5560_8,303,0.006338584016135,0.0063906403156137,0.0058062870689882,0.4689332025599235,1,12.4,26.6,26.8,9898,947.55,9898
52,22_27_0_1_503_5560_8,304,0.0063382963702593,0.0062652579345577,0.0057219555820245,0.4631201757326569,1,14.0,1.4,28.2,9898,944.25,9898
53,22_27_0_1_503_5560_8,305,0.0063446674484468,0.0061439811045224,0.0057310306938066,0.4571878508986578,1,17.0,9.2,37.2,9898,945.75,9898
54,22_27_0_1_503_5560_8,306,0.0063317978137869,0.0060263569189257,0.0057811172637522,0.4512649281580684,1,12.1,0.0,10.6,9898,945.8,9898
55,22_27_0_1_503_5560_8,307,0.0062815578016855,0.0059118756525117,0.0058195761200932,0.4454806757977632,0,10.8,2.6,11.799999999999999,9898,944.3,9898
56,22_27_0_1_503_5560_8,308,0.0061916829074296,0.0058000275800248,0.0057937680910614,0.4399643621046162,0,8.0,0.0,2.6,9898,942.15,9898
57,22_27_0_1_503_5560_8,309,0.0060680528023342,0.0056977990599559,0.0056736425378874,0.4347519630432198,0,8.0,0.0,2.6,9898,948.25,9898
58,22_27_0_1_503_5560_8,310,0.0059659404105614,0.005670444858223,0.0056098590226394,0.4291385557854605,0,8.4,0.4,0.4,9898,955.2,9898
59,22_27_0_1_503_5560_8,311,0.0059641729277302,0.0058104611045457,0.0058398049453392,0.4220659034313722,0,7.8,0.0,0.4,9898,958.2,9898
60,22_27_0_1_506_136,307,0.0084012218368789,0.007819694986676,0.0075821689120978,0.3826246862930161,0,10.8,2.6,11.799999999999999,9898,944.3,9898
61,22_27_0_1_506_136,308,0.0082816127415625,0.0077422317004227,0.0076993496744023,0.3746103297248701,0,8.0,0.0,2.6,9898,942.15,9898
62,22_27_0_1_506_136,309,0.0081792511285818,0.0077302034533959,0.0078546183108255,0.3663775776688532,0,8.0,0.0,2.6,9898,948.25,9898
63,22_27_0_1_506_136,310,0.0080953728943166,0.0077726342190384,0.008023836905609,0.3579896836624067,0,8.4,0.4,0.4,9898,955.2,9898
64,22_27_0_1_506_136,311,0.0080284117492022,0.0078484655388773,0.0081787204931056,0.3495519340321419,0,7.8,0.0,0.4,9898,958.2,9898
65,22_27_0_1_506_136,312,0.0079767841461775,0.0079365656886391,0.0082909624651805,0.3411698739671135,0,9.3,0.0,0.4,9898,955.05,9898
66,22_27_0_1_506_136,313,0.0079389065381814,0.0080158029440505,0.0083322562136988,0.3329490486563758,0,12.4,0.0,0.0,9898,951.2,9898
67,22_27_0_1_506_136,314,0.0079138909480309,0.0080679421240632,0.0082812659373009,0.3249712479823483,0,8.0,0.0,0.0,9898,953.9000000000001,9898
68,22_27_0_1_506_136,315,0.0079052561834917,0.0080971685090037,0.0081705001123983,0.3171371831004149,0,9.2,0.0,0.0,9898,952.95,9898
69,22_27_0_1_506_136,316,0.0079181595018674,0.0081181339604766,0.0080575474278476,0.3092641968929035,0,9.4,0.0,0.0,9898,953.8499999999999,9898
70,22_27_0_1_506_136,317,0.0079577561045803,0.0081455497008215,0.0080001369364625,0.3011691892848006,1,9.8,0.0,0.0,9898,952.9000000000001,9898
71,22_27_0_1_506_136,318,0.0080292011930526,0.0081941269523778,0.0080559976910568,0.2926690602010914,1,10.4,0.0,0.0,9898,953.95,9898
72,22_27_0_1_506_136,319,0.0081351272688589,0.0082753817478756,0.0082694975584503,0.2836237601900968,1,10.8,0.0,0.0,9898,950.55,9898
73,22_27_0_1_506_136,320,0.0082600356684141,0.0083781350498166,0.0085857699872349,0.2742083331642402,1,10.8,0.0,0.0,9898,951.25,9898
74,22_27_0_1_506_136,321,0.0083805122034253,0.0084814080585851,0.0089052686893226,0.2647378534462903,1,8.3,0.0,0.0,9898,953.65,9898
75,22_27_0_1_506_136,322,0.008473110375304,0.0085641843303657,0.0091282317242689,0.2555280306634561,0,8.2,0.0,0.0,9898,956.5,9898
76,22_27_0_1_506_136,323,0.0085143836854615,0.0086054474213429,0.0091548971516289,0.2468945744429467,0,5.8,0.0,0.0,9898,961.5,9898
77,22_27_0_1_506_136,324,0.0084852123054495,0.0085871854895237,0.0089048734205972,0.2390993930871104,0,8.1,0.0,0.0,9898,963.45,9898
78,22_27_0_1_506_136,325,0.0083975677990471,0.0085111016423714,0.008436433297508,0.2320261666767001,0,8.0,0.0,0.0,9898,958.45,9898
79,22_27_0_1_506_136,326,0.0082770385534179,0.008386784116203,0.0078682995430834,0.225396355730873,0,10.2,0.0,0.0,9898,949.9,9898
80,50_108_0_0_11_214,307,0.0032041088011512,0.001034153225201,-0.0008446070908521,0.2981501809808048,0,10.6,2.4,12.4,9294E,973.35,9294E
81,50_108_0_0_11_214,308,0.0027240369744968,0.0004065111855581,-0.0007907742410681,0.2983988653559664,0,9.4,0.2,2.6,9294E,973.35,9294E
82,50_108_0_0_11_214,309,0.0022264266681244,-1.2951169549202393e-05,-0.000569090859892,0.2982641210263135,0,7.6,0.0,2.6,9294E,980.1500000000001,9294E
83,50_108_0_0_11_214,310,0.0017264445167312,-0.0002270623011553,-0.0002388825745937,0.297739969531831,0,8.8,0.0,0.2,9294E,987.15,9294E
84,50_108_0_0_11_214,311,0.0012607367703079,-0.000265270496153,0.0001407227896683,0.2968204324125031,0,9.0,0.0,0.0,9294E,990.6500000000001,9294E
85,50_108_0_0_11_214,312,0.0008661454683,-0.000157238568177,0.000530129954498,0.2954995312083145,0,10.8,0.0,0.0,9294E,988.15,9294E
86,50_108_0_0_11_214,313,0.0005795126501532,6.737066913764522e-05,0.0009255155793433,0.2937712874592494,0,12.8,0.0,0.0,9294E,984.7,9294E
87,50_108_0_0_11_214,314,0.0004331214613767,0.0003780879316683,0.0013252667232286,0.2916377874101701,0,9.3,0.0,0.0,9294E,984.7,9294E
88,50_108_0_0_11_214,315,0.0004204503117764,0.0007382964815231,0.0017154755376401,0.2891625918436302,0,8.2,0.0,0.0,9294E,984.05,9294E
89,50_108_0_0_11_214,316,0.0005153442105481,0.0011086482068094,0.0020765736239506,0.2864375642927499,0,11.1,0.0,0.0,9294E,984.15,9294E
90,50_108_0_0_11_214,317,0.000691495123734,0.0014595462310271,0.0023889625075561,0.2835547186705336,1,11.2,0.0,0.0,9294E,982.8,9294E
91,50_108_0_0_11_214,318,0.000922595017376,0.0017792796465981,0.0026330437138529,0.2806060688899848,1,13.6,0.0,0.0,9294E,984.45,9294E
92,50_108_0_0_11_214,319,0.0011826427361685,0.0020585095341988,0.002791752345169,0.2776790256843247,1,12.4,0.0,0.0,9294E,983.2,9294E
93,50_108_0_0_11_214,320,0.0014478832113756,0.0022912661043602,0.0028670566710804,0.2748273084882281,1,11.1,0.0,0.0,9294E,984.05,9294E
94,50_108_0_0_11_214,321,0.0016956254899798,0.0024730768401355,0.0028695800563204,0.2720896640111474,1,10.2,0.0,0.0,9294E,985.1500000000001,9294E
95,50_108_0_0_11_214,322,0.0019096939965385,0.0025994760175588,0.0028099895275614,0.2695047710327265,0,8.9,0.0,0.0,9294E,987.8,9294E
96,50_108_0_0_11_214,323,0.0020858371348904,0.0026659979126639,0.002698952111475,0.2671113083326095,0,8.8,0.0,0.0,9294E,991.85,9294E
97,50_108_0_0_11_214,324,0.0022213654754623,0.0026694148515791,0.0025470773579892,0.2649436388943786,0,6.9,0.0,0.0,9294E,992.95,9294E
98,50_108_0_0_11_214,325,0.0023156122846816,0.0026156806582024,0.0023643046453245,0.2630057852616055,0,7.0,0.2,0.2,9294E,987.9,9294E
99,50_108_0_0_11_214,326,0.0023687783498,0.0025148807127247,0.002160181369129,0.2612887571655022,0,10.1,0.2,0.4,9294E,980.45,9294E
100,50_108_0_0_11_75,307,0.0039945593733077,0.0009713984945174,-0.0016768196529116,0.4978679929176339,0,10.6,2.4,12.4,9294E,973.35,9294E
101,50_108_0_0_11_75,308,0.0031705502754587,6.792177676199773e-05,-0.0019230192761846,0.499714999181241,0,9.4,0.2,2.6,9294E,973.35,9294E
102,50_108_0_0_11_75,309,0.0023791582107092,-0.0005771480428594,-0.0018759016681419,0.500896144812288,0,7.6,0.0,2.6,9294E,980.1500000000001,9294E
103,50_108_0_0_11_75,310,0.0016683708662863,-0.0009360403065939,-0.0015245165687692,0.5010882344078796,0,8.8,0.0,0.2,9294E,987.15,9294E
104,50_108_0_0_11_75,311,0.0010888547860824,-0.0010031016432445,-0.0008579502281518,0.4999680725651209,0,9.0,0.0,0.0,9294E,990.6500000000001,9294E
105,50_108_0_0_11_75,312,0.0006913009321127,-0.0007728569228041,0.0001311058073034,0.4972124638811168,0,10.8,0.0,0.0,9294E,988.15,9294E
106,50_108_0_0_11_75,313,0.0005264002663926,-0.0002398310152653,0.0014433572456538,0.4924982129529716,0,12.8,0.0,0.0,9294E,984.7,9294E
107,50_108_0_0_11_75,314,0.0006340784442173,0.0005903148751144,0.0030565314183709,0.4856134877204333,0,9.3,0.0,0.0,9294E,984.7,9294E
108,50_108_0_0_11_75,315,0.0009688326564088,0.0016270310068225,0.0047785785824143,0.4771953414958076,0,8.2,0.0,0.0,9294E,984.05,9294E
109,50_108_0_0_11_75,316,0.0014443602309161,0.0027406668755429,0.0063392839792376,0.4682716526689326,0,11.1,0.0,0.0,9294E,984.15,9294E
110,50_108_0_0_11_75,317,0.0019741012312016,0.0037995616732583,0.0074680175392132,0.4598723761850504,1,11.2,0.0,0.0,9294E,982.8,9294E
111,50_108_0_0_11_75,318,0.0024714957207277,0.0046687532191839,0.007894149192714,0.4530274669894013,1,13.6,0.0,0.0,9294E,984.45,9294E
112,50_108_0_0_11_75,319,0.0028595703369853,0.005227306339549,0.0073980812607271,0.4486230814167973,1,12.4,0.0,0.0,9294E,983.2,9294E
113,50_108_0_0_11_75,320,0.0031315171558933,0.0054595340182247,0.006140489454035,0.4464928942256324,1,11.1,0.0,0.0,9294E,984.05,9294E
